0,52
0,123
0,150
0,193
1,208
2,99
3,136
4,83
4,103
5,62
6,57
6,68
6,100
6,115
6,134
6,152
6,162
6,208
7,103
8,32
9,168
10,14
11,62
12,62
12,118
12,126
13,4
13,30
13,42
13,43
13,48
13,62
13,68
13,86
13,99
13,103
13,119
13,122
13,126
13,134
13,148
13,150
13,153
13,154
13,155
13,171
13,178
13,183
13,203
13,209
14,42
14,52
14,68
14,144
14,150
14,195
15,13
15,168
16,40
16,41
16,60
16,61
16,70
16,74
16,95
16,100
16,104
16,124
16,132
16,141
16,144
16,160
16,176
16,200
17,118
18,211
19,10
19,17
19,26
19,36
19,42
19,52
19,57
19,58
19,68
19,70
19,93
19,95
19,98
19,102
19,108
19,119
19,144
19,154
19,156
19,157
19,183
19,193
19,195
19,209
20,157
21,32
21,42
22,179
23,42
23,157
24,211
25,28
25,144
25,157
26,43
27,147
28,3
29,30
29,210
30,154
30,165
30,209
31,8
31,100
32,170
33,69
34,30
34,118
34,134
35,30
35,47
36,211
37,215
38,52
38,68
38,70
38,119
38,202
39,42
40,52
41,4
41,57
41,98
41,100
41,123
41,152
41,157
41,191
41,195
42,141
42,152
42,195
43,28
43,207
44,59
44,183
45,3
45,12
45,25
45,57
45,62
45,99
45,100
45,103
45,115
45,132
45,152
45,154
45,160
45,162
45,175
46,22
46,25
46,62
46,68
46,70
46,107
46,131
46,154
46,163
46,174
46,209
46,210
47,210
48,24
48,36
48,50
48,70
48,75
48,86
48,119
48,138
48,141
49,54
50,29
50,68
50,197
51,8
51,32
51,49
51,62
51,68
51,70
51,90
51,98
51,100
51,103
51,119
51,122
51,128
51,138
51,139
51,141
51,148
51,152
51,153
51,154
51,175
51,182
51,191
51,192
51,205
51,208
51,209
51,210
52,57
52,108
52,199
53,199
54,25
54,68
54,108
54,199
55,199
56,25
56,158
56,199
57,25
57,57
57,62
57,68
57,70
57,158
58,18
58,25
58,154
58,158
58,199
58,208
59,30
59,100
59,115
60,103
61,154
62,17
62,30
62,154
62,174
63,26
63,32
63,42
63,62
63,70
63,99
63,122
63,145
63,150
63,193
64,141
65,173
65,193
66,43
66,181
67,53
67,140
68,103
69,68
70,29
71,14
72,202
73,185
74,50
74,52
74,139
75,4
75,54
75,62
75,103
75,139
75,185
76,172
77,44
78,165
79,14
79,25
79,158
80,68
81,18
81,115
81,156
81,183
81,193
82,168
83,29
84,52
84,139
84,205
85,25
85,48
85,62
85,68
85,76
85,94
85,100
85,115
85,117
85,122
85,129
85,139
85,152
85,170
85,188
85,191
85,208
85,209
85,210
86,132
86,170
87,32
87,50
87,62
87,68
87,76
87,100
87,113
87,115
87,127
87,139
87,152
87,154
88,14
88,68
88,119
89,119
90,48
90,62
90,164
91,143
92,62
92,74
92,154
93,48
94,29
95,29
96,211
97,86
98,29
98,173
99,52
100,76
101,49
101,98
101,103
102,103
103,72
104,60
105,68
106,60
107,210
108,3
108,4
108,26
108,30
108,42
108,43
108,52
108,57
108,62
108,76
108,118
108,149
108,173
108,193
108,209
108,216
109,18
109,28
109,32
109,144
110,30
110,47
110,165
110,166
111,29
112,154
113,25
113,62
113,68
113,70
113,102
113,132
113,141
113,164
113,173
113,178
114,68
115,143
116,117
117,1
117,25
117,57
117,62
117,68
117,82
117,119
117,143
117,149
117,158
117,193
117,199
117,208
117,209
118,114
119,10
119,57
119,115
119,132
119,193
119,210
120,62
120,70
120,86
120,102
120,119
120,128
120,157
121,3
121,8
121,15
121,18
121,21
121,25
121,28
121,43
121,48
121,50
121,57
121,58
121,59
121,61
121,62
121,66
121,68
121,70
121,76
121,82
121,92
121,98
121,103
121,107
121,116
121,118
121,119
121,122
121,128
121,132
121,134
121,136
121,139
121,153
121,154
121,160
121,161
121,162
121,166
121,174
121,178
121,182
121,183
121,191
121,193
121,205
121,208
121,210
121,212
121,217
122,68
122,149
123,62
124,25
124,132
124,154
124,158
124,176
125,132
125,209
126,82
126,154
126,208
127,32
127,57
127,68
127,127
127,168
128,57
128,62
129,8
129,20
129,25
129,50
129,62
129,68
129,75
129,77
129,119
129,133
129,141
129,149
129,154
129,158
129,185
129,208
129,210
130,11
131,25
131,62
131,70
131,119
131,209
132,25
132,154
132,158
133,20
133,68
133,70
133,119
133,158
133,193
133,199
133,208
133,209
134,68
134,141
135,20
135,119
135,154
136,108
137,1
137,17
137,20
137,25
137,119
137,132
138,108
138,117
138,193
138,199
138,208
139,68
140,1
140,9
140,20
140,25
140,43
140,68
140,70
140,81
140,119
140,141
140,158
140,193
140,199
140,208
140,213
141,70
142,43
142,68
143,4
143,5
143,28
143,32
143,42
143,43
143,54
143,60
143,61
143,67
143,70
143,101
143,103
143,104
143,120
143,138
143,139
143,141
143,157
143,167
143,174
143,176
143,191
143,199
143,210
144,52
145,25
145,50
145,103
146,25
146,158
147,68
147,103
147,154
148,72
149,118
150,42
150,43
151,14
151,42
151,70
151,141
151,150
151,193
152,49
152,70
152,134
152,183
152,210
153,3
153,4
153,6
153,8
153,10
153,15
153,17
153,19
153,21
153,25
153,27
153,32
153,38
153,43
153,50
153,52
153,57
153,62
153,68
153,70
153,90
153,92
153,97
153,98
153,100
153,108
153,109
153,115
153,116
153,118
153,119
153,125
153,126
153,128
153,132
153,138
153,141
153,152
153,154
153,173
153,178
153,182
153,193
153,197
153,200
153,208
153,209
153,210
153,213
154,6
154,7
154,25
154,68
154,70
154,114
154,138
154,139
154,141
154,176
154,209
155,25
